Model,Total_Params,Trainable_Params,Size_MB,Inference_Mean_ms,Inference_Std_ms
BiLSTM+KAN,103969,103969,0.405,2.499,0.391
BiLSTM+Linear,103114,103114,0.398,1.782,0.518
